Make,Age,Reli.Rate
Porsche,5,1
Lexus,5,1
Infiniti,5,1
Mercedes.Benz,5,0.99
BMW,5,1
Acura,5,0.99
Volvo,5,0.98
Jaguar,5,1
Audi,5,0.99
Saab,5,0.98
Cadillac,5,1
Lincoln,5,1
Industry.Average,5,0.99
Oldsmobile,5,1
Toyota,5,0.99
Mazda,5,0.98
Honda,5,0.99
Subaru,5,1
Volkswagen,5,0.99
Nissan,5,0.99
Chrysler,5,0.99
Suzuki,5,0.99
Hyundai,5,0.97
Pontiac,5,0.98
Chevrolet,5,0.98
Buick,5,1
Ford,5,0.99
Oldsmobile,5,1
Dodge,5,0.98
Porsche,10,1
Lexus,10,1
Infiniti,10,0.98
Mercedes.Benz,10,0.94
BMW,10,1
Acura,10,0.95
Volvo,10,0.98
Jaguar,10,0.96
Audi,10,0.98
Saab,10,0.97
Cadillac,10,0.88
Lincoln,10,0.93
Industry.Average,10,0.94
Oldsmobile,10,0.94
Toyota,10,0.95
Mazda,10,0.95
Honda,10,0.96
Subaru,10,0.99
Volkswagen,10,0.96
Nissan,10,0.95
Chrysler,10,0.89
Suzuki,10,0.87
Hyundai,10,0.89
Pontiac,10,0.92
Chevrolet,10,0.92
Buick,10,0.96
Ford,10,0.93
Oldsmobile,10,0.94
Dodge,10,0.91
Porsche,15,1
Lexus,15,0.92
Infiniti,15,0.82
Mercedes.Benz,15,0.82
BMW,15,0.9
Acura,15,0.8
Volvo,15,0.86
Jaguar,15,0.79
Audi,15,0.87
Saab,15,0.72
Cadillac,15,0.6
Lincoln,15,0.74
Industry.Average,15,0.64
Oldsmobile,15,0.62
Toyota,15,0.84
Mazda,15,0.64
Honda,15,0.82
Subaru,15,0.81
Volkswagen,15,0.68
Nissan,15,0.67
Chrysler,15,0.6
Suzuki,15,0.43
Hyundai,15,0.41
Pontiac,15,0.54
Chevrolet,15,0.56
Buick,15,0.69
Ford,15,0.57
Oldsmobile,15,0.62
Dodge,15,0.46
Porsche,20,0.99
Lexus,20,0.72
Infiniti,20,0.37
Mercedes.Benz,20,0.77
BMW,20,0.67
Acura,20,0.46
Volvo,20,0.59
Jaguar,20,0.63
Audi,20,0.4
Saab,20,0.36
Cadillac,20,0.45
Lincoln,20,0.36
Industry.Average,20,0.23
Oldsmobile,20,0.27
Toyota,20,0.36
Mazda,20,0.28
Honda,20,0.4
Subaru,20,0.27
Volkswagen,20,0.27
Nissan,20,0.23
Chrysler,20,0.25
Suzuki,20,0.08
Hyundai,20,0.05
Pontiac,20,0.13
Chevrolet,20,0.14
Buick,20,0.3
Ford,20,0.17
Oldsmobile,20,0.27
Dodge,20,0.13
Porsche,25,0.85
Lexus,25,
Infiniti,25,
Mercedes.Benz,25,0.6
BMW,25,0.34
Acura,25,0.11
Volvo,25,0.23
Jaguar,25,0.35
Audi,25,0.07
Saab,25,0.15
Cadillac,25,0.19
Lincoln,25,0.16
Industry.Average,25,0.06
Oldsmobile,25,0.07
Toyota,25,0.11
Mazda,25,0.07
Honda,25,0.07
Subaru,25,0.04
Volkswagen,25,0.09
Nissan,25,0.06
Chrysler,25,0.07
Suzuki,25,0.03
Hyundai,25,0.01
Pontiac,25,0.05
Chevrolet,25,0.06
Buick,25,0.06
Ford,25,0.05
Oldsmobile,25,0.07
Dodge,25,0.03
